,id,title,viewCount,likeCount,commentCount,subscriberCount,noticeds
354,Q05k2Qu6uFc,[심즈4] 어떤 확장팩을 살 지 고민된다면 들어오세요! 심즈 확장팩 추천｜베이비하품,166644.0,2598.0,309.0,108000,1.4595965869459282
240,wU9CWN584tE,코로나 때문에 마인크래프트로 연말파티를 열어버림ㅋㅋㅋ,161087.0,4591.0,330.0,361000,2.503326311982493
655,vNZYrtV0UAA,반전에 반전?! 업글로 승부하는 '운빨' 유즈맵 【초 극뎀 블러드】,161009.0,565.0,98.0,251000,2.183120256234878
352,tSd5D58vbko,[심즈4] 이 곳은 지옥이 아닙니다.. 제일 작은 부지에 심 구겨 넣기 ｜베이비하품,156018.0,1674.0,212.0,108000,1.3665258893337284
537,sOyFSB-xCWg,최고로 간단한 함정 ㅋㅋㅋㅋㅋ 친구놀리기 너무좋음 ㅋㅋㅋ 깔수 마인크래프트,155978.0,2573.0,193.0,60600,1.137983136505009
212,THMe7_oNxtE,야 성큰! 막을게!! 메롱으로 막는 '근본' 유즈맵 【개인 성큰 디펜스】,154082.0,748.0,104.0,251000,1.9200679890639292
441,dM8l0EY_coQ,C&C Red Alert 3 - Testing Super Units (Mod : RA3 Epic War),150896.0,2127.0,211.0,20200,0.9534593356821869
440,bkKp82S4nyY,Red Alert 3:Corona Celestial Empire Infantry Units Demo,149434.0,2310.0,370.0,11900,0.9442214662305953
584,8__zcYay2YU,"아주건전하게★ 돈으로 친구(?)를 만들어보자!! (VRChat, VR챗)",146338.0,2262.0,415.0,61800,2.0833377552697616
70,7Xf8tX1tMz8,코로나 19를 마인크래프트로 표현한다면?,142331.0,2921.0,291.0,60600,1.1838701164557115
30,d-S6qKxiDqE,코로나 시국에 팬미팅이라니..,133963.0,2600.0,209.0,1090000,0.6483587461308824
345,Eq30kNWNPzY,쓸만한 영어 - 생활속 통역 - 신종 코로나 바이러스에 관해 영어로 대화하기,121063.0,3529.0,225.0,264000,6.365310619422496
654,uOLpTCU1-Ow,약 10시간을 도전한 '이랏샤이마세' 입구 막기 ㅠㅠ - [스타 유즈맵],118832.0,642.0,93.0,251000,1.6112425161879336
236,s0EJAJ-ogTg,참모총장 대장까지 진급해서 저그를 무찔러라 [EUD 궁극의테란키우기2 초월팩] | 스타크래프트 리마스터 유즈맵,109953.0,305.0,73.0,13600,1.7086930539485563
651,s56w0aVNYTM,레.. 레드 플러시!! 근본이 넘치는 원조 '도박' 유즈맵 【포커 디펜스】,107698.0,450.0,79.0,251000,1.4602766637640372
237,9GRhsaZgLxw,[빙빙뭉친디펜스] | 스타크래프트 리마스터 유즈맵,102742.0,242.0,31.0,13600,1.5966325770900527
127,Fxe9KEanzD4,"VR세상에서 자고일어났더니 신이 되어있었다 (VRChat, VR챗)",102355.0,2140.0,287.0,61800,1.457174732063008
217,kKJRjr2Fi5A,스타 II 전설의 엽기 전략 리메이크 Part. 11 【황금 함대】,94214.0,1001.0,121.0,251000,1.1740325639702822
234,58vTodtfI5w,모두가 경악한 '입찰 컨트롤' 고인물 ㄷㄷㄷ - [스타 유즈맵],85830.0,716.0,84.0,251000,1.333816492686917
